rank,name,position,team,value,bye,id,updatedAt
53,Luther Burden III,WR,CHI,11,10,2026-WR-luther-burden-iii,2026-08-10
133,Kyler Murray,QB,MIN,1,6,2026-QB-kyler-murray,2026-08-10
213,Kaelon Black,RB,SF,0,8,2026-RB-kaelon-black,2026-08-10
293,Jake Tonges,TE,SF,0,8,2026-TE-jake-tonges,2026-08-10
54,DJ Moore,WR,BUF,10,7,2026-WR-dj-moore,2026-08-10
134,Tyler Shough,QB,NO,1,8,2026-QB-tyler-shough,2026-08-10
214,Kaytron Allen,RB,WAS,0,7,2026-RB-kaytron-allen,2026-08-10
294,KaVontae Turpin,WR,DAL,0,14,2026-WR-kavontae-turpin,2026-08-10
55,Jayden Daniels,QB,WAS,10,7,2026-QB-jayden-daniels,2026-08-10
135,Jared Goff,QB,DET,1,6,2026-QB-jared-goff,2026-08-10
215,Gunnar Helm,TE,TEN,0,9,2026-TE-gunnar-helm,2026-08-10
295,Jaylin Lane,WR,WAS,0,7,2026-WR-jaylin-lane,2026-08-10
56,Lamar Jackson,QB,BAL,10,13,2026-QB-lamar-jackson,2026-08-10
136,Daniel Jones,QB,IND,1,13,2026-QB-daniel-jones,2026-08-10
216,Chig Okonkwo,TE,WAS,0,7,2026-TE-chig-okonkwo,2026-08-10
296,Tua Tagovailoa,QB,ATL,0,11,2026-QB-tua-tagovailoa,2026-08-10
57,Drake Maye,QB,NE,10,11,2026-QB-drake-maye,2026-08-10
137,Jordan Mason,RB,MIN,1,6,2026-RB-jordan-mason,2026-08-10
217,AJ Barner,TE,SEA,0,11,2026-TE-aj-barner,2026-08-10
297,49ers D/ST,DEF,SF,0,8,2026-DEF-49ers-dst,2026-08-10
58,Jalen Hurts,QB,PHI,9,10,2026-QB-jalen-hurts,2026-08-10
138,Alvin Kamara,RB,NO,1,8,2026-RB-alvin-kamara,2026-08-10
218,Sam Darnold,QB,SEA,0,11,2026-QB-sam-darnold,2026-08-10
298,Jets D/ST,DEF,NYJ,0,13,2026-DEF-jets-dst,2026-08-10
59,TreVeyon Henderson,RB,NE,9,11,2026-RB-treveyon-henderson,2026-08-10
139,Isiah Pacheco,RB,DET,1,6,2026-RB-isiah-pacheco,2026-08-10
219,Bryce Young,QB,CAR,0,5,2026-QB-bryce-young,2026-08-10
299,Saints D/ST,DEF,NO,0,8,2026-DEF-saints-dst,2026-08-10
60,Bhayshul Tuten,RB,JAC,9,7,2026-RB-bhayshul-tuten,2026-08-10
140,Chris Rodriguez Jr.,RB,JAC,1,7,2026-RB-chris-rodriguez-jr,2026-08-10
220,Fernando Mendoza,QB,LV,0,13,2026-QB-fernando-mendoza,2026-08-10
300,Panthers D/ST,DEF,CAR,0,5,2026-DEF-panthers-dst,2026-08-10
61,D'Andre Swift,RB,CHI,8,10,2026-RB-dandre-swift,2026-08-10
141,Brian Robinson Jr.,RB,ATL,1,11,2026-RB-brian-robinson-jr,2026-08-10
221,Nicholas Singleton,RB,TEN,0,9,2026-RB-nicholas-singleton,2026-08-10
62,David Montgomery,RB,HOU,8,8,2026-RB-david-montgomery,2026-08-10
142,Tank Bigsby,RB,PHI,1,10,2026-RB-tank-bigsby,2026-08-10
222,Demond Claiborne,RB,MIN,0,6,2026-RB-demond-claiborne,2026-08-10
63,Jadarian Price,RB,SEA,8,11,2026-RB-jadarian-price,2026-08-10
143,Rashid Shaheed,WR,SEA,1,11,2026-WR-rashid-shaheed,2026-08-10
223,Kimani Vidal,RB,LAC,0,7,2026-RB-kimani-vidal,2026-08-10
64,Tony Pollard,RB,TEN,7,9,2026-RB-tony-pollard,2026-08-10
144,Jalen McMillan,WR,TB,1,10,2026-WR-jalen-mcmillan,2026-08-10
224,Malik Washington,WR,MIA,0,6,2026-WR-malik-washington,2026-08-10
65,Courtland Sutton,WR,DEN,7,10,2026-WR-courtland-sutton,2026-08-10
145,Calvin Ridley,WR,TEN,1,9,2026-WR-calvin-ridley,2026-08-10
225,Jaylen Wright,RB,MIA,0,6,2026-RB-jaylen-wright,2026-08-10
66,Michael Pittman Jr.,WR,PIT,7,9,2026-WR-michael-pittman-jr,2026-08-10
146,Denzel Boston,WR,CLE,1,11,2026-WR-denzel-boston,2026-08-10
226,Ollie Gordon II,RB,MIA,0,6,2026-RB-ollie-gordon-ii,2026-08-10
67,Alec Pierce,WR,IND,7,13,2026-WR-alec-pierce,2026-08-10
147,Travis Hunter,WR,JAC,1,7,2026-WR-travis-hunter,2026-08-10
227,Jalen Tolbert,WR,MIA,0,6,2026-WR-jalen-tolbert,2026-08-10
68,Marvin Harrison Jr.,WR,ARI,6,14,2026-WR-marvin-harrison-jr,2026-08-10
148,Adonai Mitchell,WR,NYJ,1,13,2026-WR-adonai-mitchell,2026-08-10
228,Cooper Kupp,WR,SEA,0,11,2026-WR-cooper-kupp,2026-08-10
69,DK Metcalf,WR,PIT,6,9,2026-WR-dk-metcalf,2026-08-10
149,Baker Mayfield,QB,TB,1,10,2026-QB-baker-mayfield,2026-08-10
229,Caleb Douglas,WR,MIA,0,6,2026-WR-caleb-douglas,2026-08-10
70,Jordyn Tyson,WR,NO,6,8,2026-WR-jordyn-tyson,2026-08-10
150,Malik Willis,QB,MIA,1,6,2026-QB-malik-willis,2026-08-10
230,Kayshon Boutte,WR,NE,0,11,2026-WR-kayshon-boutte,2026-08-10
71,Kyle Pitts Sr.,TE,ATL,6,11,2026-TE-kyle-pitts-sr,2026-08-10
151,De'Zhaun Stribling,WR,SF,1,8,2026-WR-dezhaun-stribling,2026-08-10
231,Brandon Aiyuk,WR,SF,0,8,2026-WR-brandon-aiyuk,2026-08-10
72,Harold Fannin Jr.,TE,CLE,6,11,2026-TE-harold-fannin-jr,2026-08-10
152,Germie Bernard,WR,PIT,1,9,2026-WR-germie-bernard,2026-08-10
232,Ja'Kobi Lane,WR,BAL,0,13,2026-WR-jakobi-lane,2026-08-10
73,Sam LaPorta,TE,DET,6,6,2026-TE-sam-laporta,2026-08-10
153,Tre Tucker,WR,LV,1,13,2026-WR-tre-tucker,2026-08-10
233,Ted Hurst,WR,TB,0,10,2026-WR-ted-hurst,2026-08-10
74,Joe Burrow,QB,CIN,5,6,2026-QB-joe-burrow,2026-08-10
154,Ray Davis,RB,BUF,1,7,2026-RB-ray-davis,2026-08-10
234,Keon Coleman,WR,BUF,0,7,2026-WR-keon-coleman,2026-08-10
75,Jaxson Dart,QB,NYG,5,8,2026-QB-jaxson-dart,2026-08-10
155,Tyrone Tracy Jr.,RB,NYG,1,8,2026-RB-tyrone-tracy-jr,2026-08-10
235,Buccaneers D/ST,DEF,TB,0,10,2026-DEF-buccaneers-dst,2026-08-10
76,Mike Evans,WR,SF,5,8,2026-WR-mike-evans,2026-08-10
156,Mike Washington Jr.,RB,LV,1,13,2026-RB-mike-washington-jr,2026-08-10
236,Packers D/ST,DEF,GB,0,11,2026-DEF-packers-dst,2026-08-10
77,Parker Washington,WR,JAC,5,7,2026-WR-parker-washington,2026-08-10
157,Tyler Allgeier,RB,ARI,1,14,2026-RB-tyler-allgeier,2026-08-10
237,Chris Boswell,K,PIT,0,9,2026-K-chris-boswell,2026-08-10
78,Christian Watson,WR,GB,4,11,2026-WR-christian-watson,2026-08-10
158,Dylan Sampson,RB,CLE,1,11,2026-RB-dylan-sampson,2026-08-10
238,Chase McLaughlin,K,TB,0,10,2026-K-chase-mclaughlin,2026-08-10
79,Matthew Golden,WR,GB,4,11,2026-WR-matthew-golden,2026-08-10
159,Terrance Ferguson,TE,LAR,1,11,2026-TE-terrance-ferguson,2026-08-10
239,Adam Randall,RB,BAL,0,13,2026-RB-adam-randall,2026-08-10
80,Michael Wilson,WR,ARI,4,14,2026-WR-michael-wilson,2026-08-10
160,Juwan Johnson,TE,NO,1,8,2026-TE-juwan-johnson,2026-08-10
240,Samaje Perine,RB,CIN,0,6,2026-RB-samaje-perine,2026-08-10
1,Jahmyr Gibbs,RB,DET,57,6,2026-RB-jahmyr-gibbs,2026-08-10
